JournalNum,TransDate,Voucher,AccountNum,Txt,CurrencyCode,AmountCurDebit,AmountCurCredit,AccountType,ExchRate,Dimension1,Dimension2,Dimension3,SettleVoucher,PostingProfile,PaymentStatus,CashDiscAmount,VendTransId,RemainAmount,BankDepositVoucher,OffsetAccountNum,,,PaymMode,OffsetAccountType,BankTransType,Transferred,Cancel,NoEdit,Approved,ApprovedBy,FreqValue,FreqCode,Due,Transfer,PurchLedgerPosting,Payment,SalesPrice,FurtherPostingType,PoolRecId,Prepayment,PaymentSequenceNum,AssetTransType,AssetBudgetPostingStatus,AssetDepreciationTime,DEL_PaymReconciliationRecId,FurtherPostingRecId,TaxDirectionControl,ReserveTransId,AssetSection179Trans,AssetRevaluationAmount,AssetRevaluationTrans,AssetConsumptionQty,CustVendNegInstProtestReason,BankRemittanceType,CODIGO,BALANCE
DC-037181,09/23/2008,.ADG-000014,00023078,Carga de Balance Inicial de Clientes 2,RD,2752120,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22426,2752120
DC-037181,09/23/2008,.ADG-000015,00023079,Carga de Balance Inicial de Clientes 2,RD,6972,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22427,6972
DC-037181,09/23/2008,.ADG-000016,00023080,Carga de Balance Inicial de Clientes 2,RD,522092,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22428,522092
DC-037181,09/23/2008,.ADG-000017,00023081,Carga de Balance Inicial de Clientes 2,RD,39250,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22429,39250
DC-037181,09/23/2008,.ADG-000018,00023082,Carga de Balance Inicial de Clientes 2,RD,76410.68,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22430,76410.68
DC-037181,09/23/2008,.ADG-000019,00023083,Carga de Balance Inicial de Clientes 2,RD,59500,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22431,59500
DC-037181,09/23/2008,.ADG-000020,00023084,Carga de Balance Inicial de Clientes 2,RD,104348,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22432,104348
DC-037181,09/23/2008,.ADG-000021,00023085,Carga de Balance Inicial de Clientes 2,RD,69254,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22433,69254
DC-037181,09/23/2008,.ADG-000022,00023086,Carga de Balance Inicial de Clientes 2,RD,53854,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22434,53854
DC-037181,09/23/2008,.ADG-000023,00023087,Carga de Balance Inicial de Clientes 2,RD,126940,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22435,126940
DC-037181,09/23/2008,.ADG-000024,00023088,Carga de Balance Inicial de Clientes 2,RD,4800,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22436,4800
DC-037181,09/23/2008,.ADG-000025,00023089,Carga de Balance Inicial de Clientes 2,RD,441726,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22437,441726
DC-037181,09/23/2008,.ADG-000026,00023090,Carga de Balance Inicial de Clientes 2,RD,2573658,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22438,2573658
DC-037181,09/23/2008,.ADG-000027,00023091,Carga de Balance Inicial de Clientes 2,RD,2935750,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22439,2935750
DC-037181,09/23/2008,.ADG-000028,00023092,Carga de Balance Inicial de Clientes 2,RD,349000,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22440,349000
DC-037181,09/23/2008,.ADG-000029,00023093,Carga de Balance Inicial de Clientes 2,RD,22600,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22441,22600
DC-037181,09/23/2008,.ADG-000030,00023094,Carga de Balance Inicial de Clientes 2,RD,23304,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22442,23304
DC-037181,09/23/2008,.ADG-000031,00023095,Carga de Balance Inicial de Clientes 2,RD,3569650,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22443,3569650
DC-037181,09/23/2008,.ADG-000032,00023096,Carga de Balance Inicial de Clientes 2,RD,256958,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22444,256958
DC-037181,09/23/2008,.ADG-000033,00023097,Carga de Balance Inicial de Clientes 2,RD,635580,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22445,635580
DC-037181,09/23/2008,.ADG-000034,00023098,Carga de Balance Inicial de Clientes 2,RD,47530,0,Cliente,100,SP,,,Ninguno,PCxC,Ninguno,0,0,0,No,1120206,,,CK,Contabilidad,CKS,No,No,No,Sí,Sinte,0,Día(s),09/23/2008,No,Ninguno,C30,0,No,0,No,0,Adquisición,No contabilizado,0,0,0,No,0,No,0,No,0,Ninguno,Ninguno,22446,47530
